No.	x	y
74	0.170282633	1.1306525
75	-0.800485516	-0.56403258
76	-0.849872807	-0.526361376
77	-0.609285442	0.652149092
78	-0.832358845	-0.639808524
79	-0.75722805	-0.486612082
80	1.085195228	-0.105097708
81	-0.988753502	0.488926833
82	0.203577891	0.992264832
83	-0.960282906	-0.623705318
84	0.498088131	1.085808834
85	-0.915248158	0.444514566
86	-0.636704023	-0.714288545
87	1.131659785	-0.041605908
88	0.401606524	-0.930695113
89	-0.705240013	0.487162998
90	0.98703537	-0.062208341
91	0.276586519	0.983213014
92	0.492641305	0.780683359
93	0.253431122	-0.844395961
94	0.24974465	-0.977657105
95	1.061580236	0.158779986
96	0.267503496	0.953743895
97	-0.757225678	-0.634426479
98	0.483905327	-0.992626578
99	0.295054485	-0.804505543
100	0.857853046	0.020367533
101	0.404680846	0.902285551
102	0.285155111	-1.060290435
103	-0.69708137	-0.529566278
104	-0.652423796	-0.521013399
105	1.116520875	0.178189361
106	0.353265152	1.050172142
107	1.127584038	0.106224757
108	-0.847604986	0.563426653
109	0.297205663	1.009132799
110	-0.840949077	0.411304069
111	0.142271425	-1.149602072
112	-0.712131551	-0.570478532
113	0.814294279	0.047180205
114	-0.816384382	0.69882866
115	0.918943535	0.171716957
116	0.503195545	-0.947079771
117	-0.796529432	0.418197487
118	-0.7862318	0.7259694
119	0.157782115	1.005327781
120	-0.684894707	-0.704262423
121	0.396244859	0.768176328
122	0.828824647	0.070329184
123	0.465988056	-0.97474703
124	1.118111553	-0.097796565
125	1.188142887	0.095509362
126	0.916236003	-0.040152014
127	-0.736829642	0.59979629
128	-0.971499761	0.651604058
129	-0.857334198	-0.455489401
130	0.146728355	1.098036641
131	-0.636002462	-0.695171216
132	0.841994113	0.192900291
133	0.347725553	-0.850862995
134	-0.752083644	0.436751579
135	0.279061139	-0.869104454
136	-0.885177671	0.737157685
137	-0.832566689	0.718029644
138	0.507949409	-1.103752313
139	0.87703564	0.137107183
140	0.425415239	1.084808005
141	0.25853145	1.150354833
142	-0.804108687	0.589310238
143	0.111513584	-0.995769937
144	0.847464356	-0.065907273
145	-0.855962827	-0.413645364
146	-0.799513354	0.548194837
147	-0.979336407	-0.725221719
148	0.322345533	1.084406461
149	-0.692221274	-0.536885745
150	0.115913777	-0.985086276
151	1.129701192	0.143926411
152	0.859508463	0.033150984
153	0.478889044	-0.967196188
154	0.462898846	-1.111998795
155	-0.725506018	0.718709761
156	-0.817446708	-0.60881461
157	0.936388739	-0.11270781
158	0.915776632	0.017099667
159	0.851476027	-0.187881386
160	0.147686346	-1.010009241
161	-0.834370196	0.478149182
162	0.176229404	-1.120466176
163	0.129619617	-0.872747871
164	0.24562239	1.117590598
165	0.357878018	-0.876478591
166	0.334380453	1.114220682
167	-0.872755378	-0.588224451
168	0.28744979	-0.834465939
169	-0.843936765	-0.756624697
170	-0.609694884	-0.521340705
171	0.89147478	0.169633886
172	0.281736975	-1.091989255
173	1.134881013	0.182578655
174	-0.82821796	0.708676672
175	0.404076464	1.063155082
176	0.135584932	0.976249875
177	0.340559669	-1.064312844
178	-0.892333707	0.667702716
179	1.070106005	-0.167575205
180	0.277423746	-1.085211017
181	-0.645062702	0.703744542
182	-0.963217043	0.456634495
183	0.297175645	0.822262266
184	-0.668293283	0.645243535
185	-0.860266845	-0.744099363
186	-0.809148787	-0.582076219
187	0.898596192	-0.067452821
188	1.185346605	-0.035749083
189	-0.624734322	0.614984443
190	0.419453003	-0.914612184
191	-0.641417534	-0.396509043
192	0.200339432	-1.093855853
193	0.211674244	0.965068338
194	0.224897482	-0.829381047
195	-0.646278967	0.495043705
196	0.994200925	0.180126304
197	0.141202209	-0.762545526
198	-0.63189553	0.704051159
199	1.025443434	-0.178392934
200	-0.689859839	-0.707533706
