No.	X1	X2	T
109	-0.274590742	1.182016918	1
110	-0.077520245	0.897470026	1
111	-0.135695228	-0.227709242	0
112	-0.212098769	-0.029115925	0
113	0.859029488	1.166641973	0
114	-0.052287228	0.011690874	0
115	1.056140771	0.242875448	1
116	1.070868608	0.037388893	1
117	0.781332532	-0.10936034	1
118	1.086572718	0.793883486	0
119	0.802427502	1.134706048	0
120	0.056922071	-0.088914716	0
121	1.027990049	-0.277398084	1
122	-0.188791174	-0.250079698	0
123	1.133452458	1.212925082	0
124	0.870814973	0.87099667	0
125	1.187826454	-0.062169491	1
126	0.289586027	-0.113723479	0
127	1.001011359	0.90638137	0
128	1.069944349	0.045353685	1
129	1.183157953	1.078410524	0
130	0.702091511	1.156331531	0
131	-0.048413816	1.060059956	1
132	0.72728419	0.790656013	0
133	-0.238129538	0.976374636	1
134	-0.200185323	0.961208584	1
135	0.997348171	0.962920193	0
136	0.299415941	0.83356696	1
137	0.821119331	0.147269184	1
138	-0.261207007	1.21189004	1
139	1.027809396	1.004295568	0
140	1.008717104	1.153679234	0
141	1.281674959	0.179007765	1
142	-0.184274201	-0.15506477	0
143	-0.090963388	1.252179963	1
144	-0.265934797	1.171067678	1
145	0.745996184	-0.040445834	1
146	0.041203925	1.287957474	1
147	1.032824493	0.146197259	1
148	-0.282629104	0.185116213	0
149	0.25867782	0.123403281	0
150	-0.051150639	0.044220543	0
151	1.002062254	0.716996009	0
152	0.708437994	-0.185009887	1
153	-0.173236205	-0.222046841	0
154	-0.213353078	1.053487817	1
155	-0.275863318	1.208600178	1
156	1.103897201	0.00995332	1
157	-0.129476985	0.257318802	0
158	0.122085075	0.995413638	1
159	-0.201818069	1.283886833	1
160	1.154754102	0.054823305	1
161	0.209765467	0.994427937	1
162	1.16858232	1.299405374	0
163	-0.256680952	0.882521465	1
164	0.26825562	1.057817087	1
165	0.809601501	0.872744417	0
166	0.974506015	1.068421	0
167	0.998201499	0.030017787	1
168	1.282804854	1.192350997	0
169	0.231826786	0.88849247	1
170	0.949471162	0.816347318	0
171	1.002256951	1.129196381	0
172	1.073795894	1.211136731	0
173	0.903627911	-0.112350565	1
174	-0.020685609	-0.266007525	0
175	1.16955352	0.859224747	0
176	1.282345294	0.952678081	0
177	0.098513918	0.209774036	0
178	0.850928607	-0.086510098	1
179	0.283302201	-0.127787765	0
180	0.738809793	0.091457936	1
181	0.829154075	1.110516147	0
182	0.855998045	-0.179027801	1
183	0.113400307	0.82089844	1
184	0.997827049	0.851462665	0
185	-0.286589296	-0.289964007	0
186	1.08829217	-0.148354598	1
187	-0.297705705	0.03177558	0
188	0.713429261	-0.245819161	1
189	1.161706202	0.095515095	1
190	0.878063917	0.198599517	1
191	-0.188894121	0.280780485	0
192	0.228553386	1.051161598	1
193	0.774443907	1.101933381	0
194	0.095903468	1.283301447	1
195	-0.183262718	-0.136272889	0
196	-0.181802191	0.710000526	1
197	1.14198014	0.196489607	1
198	-0.078179485	0.72980052	1
199	-0.230496127	-0.245389329	0
200	1.056267679	0.26359249	1
201	-0.243976231	0.121939375	0
202	0.973539796	-0.010675795	1
203	0.947682719	0.985436193	0
204	-0.168393388	0.166137405	0
205	0.256933278	-0.190100318	0
206	1.232080522	1.111826674	0
207	0.913813526	-0.058925232	1
208	0.889652648	0.289169308	1
209	1.224757045	-0.277343297	1
210	0.745186444	0.100406867	1
211	0.750986533	1.076111629	0
212	-0.108349557	0.813373198	1
213	0.095282612	-0.186425108	0
214	0.746362418	-0.215025129	1
215	1.138002022	1.118079771	0
216	1.051553645	1.22409705	0
217	-0.030026897	1.030698966	1
218	0.028119693	0.876026547	1
219	-0.030614365	0.006405679	0
220	0.172148715	-0.068025872	0
221	0.721276992	0.068275459	1
222	1.077201942	1.144658017	0
223	0.858278741	1.117860428	0
224	1.078023147	1.127033706	0
225	0.772486439	0.073706474	1
226	0.887797179	0.765228619	0
227	1.11289596	0.80822384	0
228	-0.1414975	-0.096531574	0
229	0.249542571	0.232602774	0
230	-0.049582139	0.183204604	0
231	0.91646169	1.064968225	0
232	0.258440542	0.155097095	0
233	1.23704462	0.945073629	0
234	0.730083591	0.193031283	1
235	-0.147193172	0.811082859	1
236	1.206872725	0.868988725	0
237	-0.298519972	-0.258609157	0
238	1.161516745	-0.236774734	1
239	-0.046226983	-0.137425133	0
240	1.107416591	0.015747663	1
241	0.959623418	0.794002122	0
242	-0.070771947	-0.189162178	0
243	0.145128413	-0.11188244	0
244	1.244283191	1.08190662	0
245	0.019921835	0.15161807	0
246	-0.129742113	0.204730586	0
247	0.092039242	-0.108233979	0
248	-0.070617595	0.09001372	0
249	-0.241553313	0.761581768	1
250	0.957104088	0.950738585	0
251	0.936401261	1.019936898	0
252	1.088031171	1.109037009	0
253	-0.229203511	1.151310356	1
254	0.904088413	0.210973544	1
255	0.074807386	1.156903692	1
256	0.775249734	0.169046621	1
257	1.094743831	0.227671624	1
258	-0.14800956	0.968889352	1
259	0.090387196	1.057080083	1
260	-0.189811614	0.076133975	0
261	1.082627206	0.009317356	1
262	1.099729014	1.166106571	0
263	-0.261084491	-0.283333511	0
264	0.865553668	0.026810342	1
265	0.227974283	0.982683039	1
266	0.954377428	-0.125230564	1
267	-0.071891671	0.823774926	1
268	1.210488213	1.202074487	0
269	1.251179821	1.129926354	0
270	1.058991417	0.91819164	0
271	0.14639471	0.933334002	1
272	1.131962372	0.157256828	1
273	-0.111397626	1.007363546	1
274	-0.167068986	0.907363101	1
275	0.703779246	0.994806752	0
276	0.046357834	0.990957277	1
277	1.087347528	0.749586534	0
278	0.273820267	-0.262940603	0
279	1.277595739	1.013556745	0
280	0.272365976	0.98779715	1
281	0.170932447	-0.24662596	0
282	0.151152203	-0.256028524	0
283	0.835794688	0.812022649	0
284	-0.107921627	0.248107413	0
285	0.013563567	-0.269070668	0
286	-0.001871364	1.007441633	1
287	-0.065209723	0.993719777	1
288	1.096617525	0.932020119	0
289	0.191423168	1.202717741	1
290	1.153621328	-0.163459402	1
291	0.933551038	-0.056555367	1
292	0.878136461	1.048340442	0
293	1.233491325	1.19433198	0
294	-0.022564958	1.056095498	1
295	1.218812463	1.066258512	0
296	1.040118795	-0.110907228	1
297	0.099938328	0.807199907	1
298	0.818526699	1.194877063	0
299	0.724922935	-0.004593114	1
300	0.11282248	1.003657446	1
